종목코드,업종
0054V0,금융 지원 서비스업
0009K0,자연과학 및 공학 연구개발업
0096D0,금융 지원 서비스업
0096B0,기타 금융업
0093G0,금융 지원 서비스업
0015N0,기타 화학제품 제조업
0126Z0,기타 금융업
0120G0,의약품 제조업
0091W0,금융 지원 서비스업
0068Y0,금융 지원 서비스업
488900,"항공기,우주선 및 부품 제조업"
388210,전자부품 제조업
403850,"영화, 비디오물, 방송프로그램 제작 및 배급업"
403810,전자부품 제조업
0015G0,사진장비 및 광학기기 제조업
459550,통신 및 방송 장비 제조업
061090,통신 및 방송 장비 제조업
494120,사진장비 및 광학기기 제조업
469610,특수 목적용 기계 제조업
486990,소프트웨어 개발 및 공급업
014950,의약품 제조업
317450,의약품 제조업
0072Z0,금융 지원 서비스업
0071M0,금융 지원 서비스업
488280,소프트웨어 개발 및 공급업
342870,가전제품 및 정보통신장비 소매업
496320,특수 목적용 기계 제조업
318060,합성고무 및 플라스틱 물질 제조업
397810,광고업
0044K0,금융 지원 서비스업
0010V0,의료용 기기 제조업
125490,자동차 신품 부품 제조업
0008Z0,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
484590,무기 및 총포탄 제조업
0041B0,금융 지원 서비스업
456160,의약품 제조업
309710,기초 의약물질 제조업
0041L0,금융 지원 서비스업
439260,선박 및 보트 건조업
468530,자연과학 및 공학 연구개발업
475230,기타 금속 가공제품 제조업
380550,소프트웨어 개발 및 공급업
484120,전자부품 제조업
0004Y0,기타 금융업
0041J0,금융 지원 서비스업
331740,소프트웨어 개발 및 공급업
0030R0,신탁업 및 집합투자업
462310,봉제의복 제조업
234030,반도체 제조업
0037T0,금융 지원 서비스업
463020,소프트웨어 개발 및 공급업
388610,기타 화학제품 제조업
455180,특수 목적용 기계 제조업
340450,"그외 기타 전문, 과학 및 기술 서비스업"
474650,특수 목적용 기계 제조업
475430,절연선 및 케이블 제조업
496070,금융 지원 서비스업
287840,자연과학 및 공학 연구개발업
483650,기타 화학제품 제조업
489460,기타 화학제품 제조업
424870,자연과학 및 공학 연구개발업
188040,기타 식품 제조업
125020,절연선 및 케이블 제조업
376900,의료용품 및 기타 의약 관련제품 제조업
476040,자연과학 및 공학 연구개발업
136150,일반 목적용 기계 제조업
459510,특수 목적용 기계 제조업
364950,특수 목적용 기계 제조업
081180,일반 목적용 기계 제조업
448900,자동차 신품 부품 제조업
481070,"섬유, 의복, 신발 및 가죽제품 소매업"
101970,"구조용 금속제품, 탱크 및 증기발생기 제조업"
462860,전기 통신업
444530,소프트웨어 개발 및 공급업
484810,일반 목적용 기계 제조업
098070,일반 목적용 기계 제조업
498390,금융 지원 서비스업
480370,"건축기술, 엔지니어링 및 관련 기술 서비스업"
031210,보험업
460870,유리 및 유리제품 제조업
226590,전자부품 제조업
393970,플라스틱제품 제조업
435570,도시락 및 식사용 조리식품 제조업
489500,기타 화학제품 제조업
